Match ID,Team 1,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
45,New York Subliners,Dallas Empire,Major 1,3/7/2021,0,3,Dallas Empire,https://youtu.be/rc89biX2DkI?t=1
46,Dallas Empire,Atlanta FaZe,Major 1,3/7/2021,2,5,Atlanta FaZe,https://youtu.be/OkW_emHf5RU?t=1
47,New York Subliners,Atlanta FaZe,Stage 2 Week 1,3/18/2021,1,3,Atlanta FaZe,https://youtu.be/yxlT-jZSX6E?t=1
48,Seattle Surge,Florida Mutineers,Stage 2 Week 1,3/18/2021,3,1,Seattle Surge,https://youtu.be/js3nT7pqZxs?t=1
49,Toronto Ultra,Los Angeles Thieves,Stage 2 Week 1,3/19/2021,2,3,Los Angeles Thieves,https://youtu.be/Cjn4zVgrAno?t=1
50,Minnesota ROKKR,Paris Legion,Stage 2 Week 1,3/19/2021,0,3,Paris Legion,https://youtu.be/9c9SH71wCN4?t=1
51,Paris Legion,OpTic Chicago,Stage 2 Week 1,3/20/2021,1,3,OpTic Chicago,https://youtu.be/ka-lUY-C4jM?t=1
52,Minnesota ROKKR,Florida Mutineers,Stage 2 Week 1,3/20/2021,0,3,Florida Mutineers,https://youtu.be/GDgb1XT0-ok?t=1
53,Seattle Surge,Dallas Empire,Stage 2 Week 1,3/20/2021,2,3,Dallas Empire,https://youtu.be/-Wd7Yt2_M_I?t=1
54,London Royal Ravens,Los Angeles Guerrillas,Stage 2 Week 1,3/21/2021,3,0,London Royal Ravens,https://youtu.be/Vn0bTvX4TFU?t=1
55,Toronto Ultra,Atlanta FaZe,Stage 2 Week 1,3/21/2021,0,3,Atlanta FaZe,https://youtu.be/I7k2UekgJ-0?t=1
56,New York Subliners,Los Angeles Thieves,Stage 2 Week 1,3/21/2021,3,2,New York Subliners,https://youtu.be/GZA1WjjH2Zg?t=1
57,Paris Legion,Dallas Empire,Stage 2 Week 2,3/25/2021,1,3,Dallas Empire,https://youtu.be/WqtSLqvQcyY?t=1
58,Minnesota ROKKR,OpTic Chicago,Stage 2 Week 2,3/25/2021,3,0,Minnesota ROKKR,https://youtu.be/k2CLweEppuE?t=1
