Match ID,Map ID,Event,Team,Opponent,Mode,Map,Map Number,Player,Kills,Deaths,K/D,Plus/Minus,Map Result
1934,39,Launch Weekend,Chicago Huntsmen,OpTic Gaming Los Angeles,Search and Destroy,Piccadilly,2,Envoy,4,5,0.8,-1,Win
1934,39,Launch Weekend,Chicago Huntsmen,OpTic Gaming Los Angeles,Search and Destroy,Piccadilly,2,Scump,11,3,3.67,8,Win
1934,39,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Search and Destroy,Piccadilly,2,Slasher,3,8,0.38,-5,Loss
1934,39,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Search and Destroy,Piccadilly,2,Dashy,5,6,0.83,-1,Loss
1934,39,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Search and Destroy,Piccadilly,2,JKap,4,7,0.57,-3,Loss
1934,39,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Search and Destroy,Piccadilly,2,Kenny,5,6,0.83,-1,Loss
1934,39,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Search and Destroy,Piccadilly,2,TJHaly,4,8,0.5,-4,Loss
1934,40,Launch Weekend,Chicago Huntsmen,OpTic Gaming Los Angeles,Domination,Hackney Yard,3,Arcitys,22,29,0.76,-7,Win
1934,40,Launch Weekend,Chicago Huntsmen,OpTic Gaming Los Angeles,Domination,Hackney Yard,3,Formal,32,23,1.39,9,Win
1934,40,Launch Weekend,Chicago Huntsmen,OpTic Gaming Los Angeles,Domination,Hackney Yard,3,Gunless,28,31,0.9,-3,Win
1934,40,Launch Weekend,Chicago Huntsmen,OpTic Gaming Los Angeles,Domination,Hackney Yard,3,Envoy,28,28,1,0,Win
1934,40,Launch Weekend,Chicago Huntsmen,OpTic Gaming Los Angeles,Domination,Hackney Yard,3,Scump,33,26,1.27,7,Win
1934,40,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Domination,Hackney Yard,3,Slasher,30,24,1.25,6,Loss
1934,40,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Domination,Hackney Yard,3,Dashy,26,28,0.93,-2,Loss
1934,40,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Domination,Hackney Yard,3,JKap,26,27,0.96,-1,Loss
1934,40,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Domination,Hackney Yard,3,Kenny,31,30,1.03,1,Loss
1934,40,Launch Weekend,OpTic Gaming Los Angeles,Chicago Huntsmen,Domination,Hackney Yard,3,TJHaly,24,34,0.71,-10,Loss
1948,41,Launch Weekend,New York Subliners,Atlanta FaZe,Hardpoint,Gun Runner,1,Accuracy,22,33,0.67,-11,Loss
1948,41,Launch Weekend,New York Subliners,Atlanta FaZe,Hardpoint,Gun Runner,1,Zer0,28,30,0.93,-2,Loss
1948,41,Launch Weekend,New York Subliners,Atlanta FaZe,Hardpoint,Gun Runner,1,Attach,34,29,1.17,5,Loss
1948,41,Launch Weekend,New York Subliners,Atlanta FaZe,Hardpoint,Gun Runner,1,Temp,30,32,0.94,-2,Loss
1948,41,Launch Weekend,New York Subliners,Atlanta FaZe,Hardpoint,Gun Runner,1,ZooMaa,33,39,0.85,-6,Loss
1948,41,Launch Weekend,Atlanta FaZe,New York Subliners,Hardpoint,Gun Runner,1,Cellium,42,27,1.56,15,Win
1948,41,Launch Weekend,Atlanta FaZe,New York Subliners,Hardpoint,Gun Runner,1,MajorManiak,24,24,1,0,Win
1948,41,Launch Weekend,Atlanta FaZe,New York Subliners,Hardpoint,Gun Runner,1,Priestahh,27,30,0.9,-3,Win
1948,41,Launch Weekend,Atlanta FaZe,New York Subliners,Hardpoint,Gun Runner,1,aBeZy,29,37,0.78,-8,Win
1948,41,Launch Weekend,Atlanta FaZe,New York Subliners,Hardpoint,Gun Runner,1,Simp,41,29,1.41,12,Win
1948,42,Launch Weekend,New York Subliners,Atlanta FaZe,Search and Destroy,Piccadilly,2,Accuracy,2,6,0.33,-4,Loss
1948,42,Launch Weekend,New York Subliners,Atlanta FaZe,Search and Destroy,Piccadilly,2,Zer0,3,6,0.5,-3,Loss
