Match ID,Map ID,Team 1,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Total Game Time,Map VOD
9,35,Minnesota ROKKR,Dallas Empire,Stage 1 Week 1,Search and Destroy,Garrison,5,6,2,Minnesota ROKKR,8:05,https://youtu.be/oTxIBSsflQ0?t=6694
10,36,OpTic Chicago,Atlanta FaZe,Stage 1 Week 1,Hardpoint,Garrison,1,250,225,OpTic Chicago,12:15,https://youtu.be/gWnckFjeIlc?t=324
10,37,OpTic Chicago,Atlanta FaZe,Stage 1 Week 1,Search and Destroy,Miami,2,0,6,Atlanta FaZe,7:48,https://youtu.be/gWnckFjeIlc?t=1465
10,38,OpTic Chicago,Atlanta FaZe,Stage 1 Week 1,Control,Checkmate,3,3,2,OpTic Chicago,11:50,https://youtu.be/gWnckFjeIlc?t=2641
10,39,OpTic Chicago,Atlanta FaZe,Stage 1 Week 1,Hardpoint,Moscow,4,245,250,Atlanta FaZe,11:46,https://youtu.be/gWnckFjeIlc?t=3885
10,40,OpTic Chicago,Atlanta FaZe,Stage 1 Week 1,Search and Destroy,Moscow,5,1,6,Atlanta FaZe,6:15,https://youtu.be/gWnckFjeIlc?t=5161
11,41,Los Angeles Guerrillas,Florida Mutineers,Super Week,Hardpoint,Crossroads,1,250,133,Los Angeles Guerrillas,9:20,https://youtu.be/5xXKtppxqZ0?t=478
11,42,Los Angeles Guerrillas,Florida Mutineers,Super Week,Search and Destroy,Miami,2,3,6,Florida Mutineers,10:53,https://youtu.be/5xXKtppxqZ0?t=1378
11,43,Los Angeles Guerrillas,Florida Mutineers,Super Week,Control,Garrison,3,2,3,Florida Mutineers,14:13,https://youtu.be/5xXKtppxqZ0?t=2750
11,44,Los Angeles Guerrillas,Florida Mutineers,Super Week,Hardpoint,Garrison,4,172,250,Florida Mutineers,10:34,https://youtu.be/5xXKtppxqZ0?t=4059
12,45,Toronto Ultra,Atlanta FaZe,Super Week,Hardpoint,Raid,1,247,250,Atlanta FaZe,10:02,https://youtu.be/ApM3PbaOzFA?t=339
12,46,Toronto Ultra,Atlanta FaZe,Super Week,Search and Destroy,Raid,2,6,3,Toronto Ultra,8:14,https://youtu.be/ApM3PbaOzFA?t=1380
12,47,Toronto Ultra,Atlanta FaZe,Super Week,Control,Raid,3,0,3,Atlanta FaZe,7:36,https://youtu.be/ApM3PbaOzFA?t=2987
12,48,Toronto Ultra,Atlanta FaZe,Super Week,Hardpoint,Garrison,4,128,250,Atlanta FaZe,8:53,https://youtu.be/ApM3PbaOzFA?t=3874
13,49,Paris Legion,Florida Mutineers,Super Week,Hardpoint,Garrison,1,222,220,Paris Legion,12:22,https://youtu.be/7p835_EQCR4?t=409
13,50,Paris Legion,Florida Mutineers,Super Week,Search and Destroy,Checkmate,2,6,4,Paris Legion,12:13,https://youtu.be/7p835_EQCR4?t=1769
13,51,Paris Legion,Florida Mutineers,Super Week,Control,Raid,3,3,1,Paris Legion,11:58,https://youtu.be/7p835_EQCR4?t=3189
14,52,New York Subliners,London Royal Ravens,Super Week,Hardpoint,Garrison,1,250,151,New York Subliners,10:01,https://youtu.be/cp-ygBBiMtE?t=301
14,53,New York Subliners,London Royal Ravens,Super Week,Search and Destroy,Checkmate,2,6,1,New York Subliners,7:07,https://youtu.be/cp-ygBBiMtE?t=1252
